Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,70,60,148,120,2,0.013,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,226,350,614,700,26,0.246,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,250,332,635,664,2,0.06,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,1127,1359,2637,2718,18,2.009,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,325,392,786,784,9,0.14,1.0
6,north/g.36.23.graphml,147,139,336,278,1,0.025,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,766,1427,2259,2854,124,7.754,1.0
8,north/g.85.2.graphml,350,1297,1759,2594,248,2.709,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,503,581,1180,1162,10,0.304,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,277,359,719,718,6,0.098,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,3205,5537,8906,11074,599,300.025,1.0
12,north/g.29.5.graphml,178,182,411,364,0,0.011,1.0
13,north/g.21.22.graphml,200,194,449,388,0,0.012,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,1050,1230,2459,2460,25,16.679,1085.0
15,Rome-Lib/graficon77nodi/grafo4316.77,1352,1491,3064,2982,21,8.493,192.0
16,north/g.12.128.graphml,31,37,89,74,1,0.007,1.0
17,north/g.19.32.graphml,30,18,76,36,0,0.003,0.0
18,north/g.19.39.graphml,53,45,133,90,0,0.003,0.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,267,416,724,832,23,0.228,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,2353,2893,5441,5786,61,300.03,1975.0
21,Rome-Lib/graficon36nodi/grafo5218.36,219,257,536,514,6,0.066,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,567,752,1404,1504,17,0.98,25.0
23,north/g.52.1.graphml,81,77,251,154,0,0.006,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,3800,6089,10069,12178,592,300.053,1.0
25,north/g.13.45.graphml,31,2,46,4,0,0.002,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,2285,2993,5521,5986,79,110.722,40.0
27,Rome-Lib/graficon75nodi/grafo8381.75,780,959,1891,1918,24,2.446,1.0
28,north/g.63.1.graphml,722,839,1688,1678,9,0.264,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,302,354,726,708,7,0.079,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,217,227,520,454,2,0.054,1.0
31,north/g.13.85.graphml,12,4,29,8,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,707,1053,1848,2106,56,9.208,94.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,1976,2562,4674,5124,71,136.031,1435.0
34,Rome-Lib/graficon61nodi/grafo6583.61,1056,1405,2615,2810,39,5.081,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,286,474,805,948,25,0.421,31.0
36,Rome-Lib/graficon34nodi/grafo11319.34,157,188,387,376,3,0.034,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,97,91,216,182,1,0.016,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,770,966,1865,1932,22,1.687,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,1803,2243,4218,4486,39,145.874,2501.0
40,Rome-Lib/graficon88nodi/grafo7910.88,2250,2885,5354,5770,76,300.033,464.0
41,Rome-Lib/graficon25nodi/grafo163.25,232,366,642,732,26,0.382,92.0
42,Rome-Lib/graficon34nodi/grafo3067.34,135,158,336,316,2,0.032,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,974,1065,2195,2130,11,1.062,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,2609,3086,5997,6172,81,300.021,735.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,1693,2295,4116,4590,68,21.407,1.0
46,north/g.11.2.graphml,20,18,53,36,0,0.003,1.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,907,1416,2418,2832,80,50.507,205.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,1815,2357,4302,4714,66,218.368,2809.0
49,north/g.77.6.graphml,987,200,1274,400,0,0.089,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,1298,1817,3270,3634,56,42.961,878.0
