Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,140,120,278,812,4,0.025,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,452,700,1190,3924,52,0.479,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,500,664,1217,3680,4,0.145,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,2254,2718,5123,21310,36,15.59,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,650,784,1503,4471,18,0.635,1.0
6,north/g.36.23.graphml,294,278,622,1414,2,0.036,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,1532,2854,4452,20999,248,34.837,1.0
8,north/g.85.2.graphml,700,2594,3406,8537,496,5.897,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,1006,1162,2264,7554,20,1.217,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,554,718,1355,3384,12,0.148,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,6410,11074,17648,122082,2970,300.079,1.0
12,north/g.29.5.graphml,356,364,771,1964,0,0.034,1.0
13,north/g.21.22.graphml,400,388,843,2178,0,0.039,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,2100,2460,4739,16572,50,247.97,852.0
15,Rome-Lib/graficon77nodi/grafo4316.77,2704,2982,5907,20497,42,28.866,1.0
16,north/g.12.128.graphml,62,74,157,266,2,0.009,1.0
17,north/g.19.32.graphml,60,36,124,160,0,0.003,0.0
18,north/g.19.39.graphml,106,90,231,382,0,0.007,1.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,534,832,1407,4899,46,0.501,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,4706,5786,10687,57128,976,300.024,1.0
21,Rome-Lib/graficon36nodi/grafo5218.36,438,514,1012,2624,12,0.136,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,1134,1504,2723,9945,34,10.406,41.0
23,north/g.52.1.graphml,162,154,409,540,0,0.009,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,7600,12178,19958,149705,4242,300.049,1.0
25,north/g.13.45.graphml,62,4,79,155,0,0.003,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,4570,5986,10799,49668,240,300.022,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,1560,1918,3630,11471,48,8.245,1.0
28,north/g.63.1.graphml,1444,1678,3249,11287,18,1.318,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,604,708,1382,3890,14,0.188,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,434,454,964,2162,4,0.1,1.0
31,north/g.13.85.graphml,24,8,45,52,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,1414,2106,3608,14102,112,56.129,291.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,3952,5124,9212,55996,750,300.024,1.0
34,Rome-Lib/graficon61nodi/grafo6583.61,2112,2810,5076,19113,78,14.441,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,572,948,1565,5216,50,0.801,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,314,376,732,1919,6,0.082,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,194,182,404,1000,2,0.029,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,1540,1932,3601,12534,44,8.643,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,3606,4486,8264,39444,80,300.044,26.0
40,Rome-Lib/graficon88nodi/grafo7910.88,4500,5770,10489,49475,748,300.023,1.0
41,Rome-Lib/graficon25nodi/grafo163.25,464,732,1240,3846,52,0.49,1.0
42,Rome-Lib/graficon34nodi/grafo3067.34,270,316,629,1517,4,0.053,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,1948,2130,4234,15201,22,4.606,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,5218,6172,11692,49571,552,300.027,1.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,3386,4590,8104,45830,794,300.027,1.0
46,north/g.11.2.graphml,40,36,91,140,0,0.003,0.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,1814,2832,4741,20303,160,71.495,1.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,3630,4714,8474,49340,648,300.02,1.0
49,north/g.77.6.graphml,1974,400,2461,23325,0,2.25,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,2596,3634,6385,26041,112,245.567,115.0
