Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,70,60,288,1122,2,0.026,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,226,350,1066,4456,26,0.756,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,250,332,1135,4434,2,0.194,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,1127,1359,4891,25122,18,11.031,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,325,392,1436,5570,9,1.109,1.0
6,north/g.36.23.graphml,147,139,630,2026,1,0.083,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,766,1427,3791,22080,124,53.28,1.0
8,north/g.85.2.graphml,350,1297,2459,7096,248,3.991,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,503,581,2186,9332,10,1.778,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,277,359,1273,4246,6,0.146,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,3205,5537,15316,127906,2013,300.067,1.0
12,north/g.29.5.graphml,178,182,767,2664,0,0.058,1.0
13,north/g.21.22.graphml,200,194,849,2996,0,0.089,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,1050,1230,4559,20232,25,79.898,273.0
15,Rome-Lib/graficon77nodi/grafo4316.77,1352,1491,5768,25488,21,72.308,391.0
16,north/g.12.128.graphml,31,37,151,372,1,0.012,1.0
17,north/g.19.32.graphml,30,18,136,316,0,0.007,1.0
18,north/g.19.39.graphml,53,45,239,618,0,0.004,1.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,267,416,1258,5520,23,0.755,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,2353,2893,10147,64920,562,300.04,1.0
21,Rome-Lib/graficon36nodi/grafo5218.36,219,257,974,3386,6,0.138,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,567,752,2538,11658,17,7.837,112.0
23,north/g.52.1.graphml,81,77,413,876,0,0.048,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,3800,6089,17669,158038,2195,300.073,1.0
25,north/g.13.45.graphml,31,2,108,366,0,0.007,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,2285,2993,10091,56684,641,300.033,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,780,959,3451,14054,24,13.824,70.0
28,north/g.63.1.graphml,722,839,3132,13824,9,1.159,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,302,354,1330,4942,7,0.452,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,217,227,954,3000,2,0.113,1.0
31,north/g.13.85.graphml,12,4,53,124,0,0.003,1.0
32,Rome-Lib/graficon47nodi/grafo6437.47,707,1053,3262,15892,56,35.447,39.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,1976,2562,8626,62142,532,300.027,1.0
34,Rome-Lib/graficon61nodi/grafo6583.61,1056,1405,4727,22290,39,20.055,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,286,474,1377,5796,25,0.908,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,157,188,701,2454,3,0.122,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,97,91,410,1406,1,0.043,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,770,966,3405,15026,22,5.478,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,1803,2243,7824,45336,41,300.042,42.0
40,Rome-Lib/graficon88nodi/grafo7910.88,2250,2885,9854,56570,740,300.024,1.0
41,Rome-Lib/graficon25nodi/grafo163.25,232,366,1106,4372,26,1.593,137.0
42,Rome-Lib/graficon34nodi/grafo3067.34,135,158,606,1988,2,0.06,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,974,1065,4143,18824,11,5.348,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,2609,3086,11215,58576,81,300.03,1.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,1693,2295,7502,50796,547,300.059,1.0
46,north/g.11.2.graphml,20,18,93,226,0,0.005,1.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,907,1416,4232,22404,80,300.055,205.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,1815,2357,7932,54974,525,300.029,1.0
49,north/g.77.6.graphml,987,200,3248,29634,0,2.288,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,1298,1817,5866,29676,56,210.718,266.0
