Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,140,120,260,812,4,0.014,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,452,700,1152,3924,52,0.214,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,500,664,1164,3680,4,0.053,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,2254,2718,4972,21310,36,2.339,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,650,784,1434,4471,18,0.148,1.0
6,north/g.36.23.graphml,294,278,572,1414,2,0.016,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,1532,2854,4386,20999,248,17.277,1.0
8,north/g.85.2.graphml,700,2594,3294,8537,496,2.529,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,1006,1162,2168,7554,20,0.294,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,554,718,1272,3384,12,0.065,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,6410,11074,17484,122082,2418,300.009,1.0
12,north/g.29.5.graphml,356,364,720,1964,0,0.01,1.0
13,north/g.21.22.graphml,400,388,788,2178,0,0.01,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,2100,2460,4560,16572,50,25.257,3225.0
15,Rome-Lib/graficon77nodi/grafo4316.77,2704,2982,5686,20497,42,4.547,1.0
16,north/g.12.128.graphml,62,74,136,266,2,0.005,1.0
17,north/g.19.32.graphml,60,36,96,160,0,0.003,1.0
18,north/g.19.39.graphml,106,90,196,382,0,0.003,1.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,534,832,1366,4899,46,0.201,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,4706,5786,10492,57128,142,300.038,305.0
21,Rome-Lib/graficon36nodi/grafo5218.36,438,514,952,2624,12,0.068,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,1134,1504,2638,9945,34,0.532,1.0
23,north/g.52.1.graphml,162,154,316,540,0,0.017,0.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,7600,12178,19778,149705,2598,300.021,1.0
25,north/g.13.45.graphml,62,4,66,155,0,0.002,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,4570,5986,10556,49668,158,138.508,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,1560,1918,3478,11471,48,1.653,1.0
28,north/g.63.1.graphml,1444,1678,3122,11287,18,0.276,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,604,708,1312,3890,14,0.072,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,434,454,888,2162,4,0.04,1.0
31,north/g.13.85.graphml,24,8,32,52,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,1414,2106,3520,14102,112,8.83,13.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,3952,5124,9076,55996,142,125.638,40.0
34,Rome-Lib/graficon61nodi/grafo6583.61,2112,2810,4922,19113,78,6.278,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,572,948,1520,5216,50,0.214,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,314,376,690,1919,6,0.027,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,194,182,376,1000,2,0.013,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,1540,1932,3472,12534,44,1.371,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,3606,4486,8092,39444,78,285.841,1775.0
40,Rome-Lib/graficon88nodi/grafo7910.88,4500,5770,10270,49475,150,300.021,260.0
41,Rome-Lib/graficon25nodi/grafo163.25,464,732,1196,3846,52,0.38,59.0
42,Rome-Lib/graficon34nodi/grafo3067.34,270,316,586,1517,4,0.02,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,1948,2130,4078,15201,22,1.141,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,5218,6172,11390,49571,204,300.03,643.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,3386,4590,7976,45830,136,49.894,1.0
46,north/g.11.2.graphml,40,36,76,140,0,0.003,1.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,1814,2832,4646,20303,160,45.597,1.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,3630,4714,8344,49340,134,300.035,423.0
49,north/g.77.6.graphml,1974,400,2374,23325,0,0.133,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,2596,3634,6230,26041,112,300.026,2261.0
