Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,70,60,148,562,2,0.02,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,226,350,614,2648,26,0.431,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,250,332,635,2434,2,0.103,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,1127,1359,2637,16106,18,19.335,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,325,392,786,2970,9,0.366,1.0
6,north/g.36.23.graphml,147,139,336,850,1,0.03,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,766,1427,2259,15952,124,56.837,1.0
8,north/g.85.2.graphml,350,1297,1759,4296,248,4.302,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,503,581,1180,5308,10,1.274,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,277,359,719,2030,6,0.15,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,3205,5537,8906,102266,1401,300.004,1.0
12,north/g.29.5.graphml,178,182,411,1240,0,0.025,1.0
13,north/g.21.22.graphml,200,194,449,1396,0,0.02,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,1050,1230,2459,11832,25,71.672,185.0
15,Rome-Lib/graficon77nodi/grafo4316.77,1352,1491,3064,14672,21,68.564,37.0
16,north/g.12.128.graphml,31,37,89,124,1,0.009,1.0
17,north/g.19.32.graphml,30,18,76,76,0,0.002,0.0
18,north/g.19.39.graphml,53,45,133,194,0,0.004,1.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,267,416,724,3384,23,0.433,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,2353,2893,5441,46096,397,300.022,1.0
21,Rome-Lib/graficon36nodi/grafo5218.36,219,257,536,1634,6,0.119,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,567,752,1404,7122,17,8.753,25.0
23,north/g.52.1.graphml,81,77,251,228,0,0.006,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,3800,6089,10069,127638,1701,300.011,1.0
25,north/g.13.45.graphml,31,2,46,118,0,0.002,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,2285,2993,5521,38404,343,300.022,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,780,959,1891,7814,24,6.518,1.0
28,north/g.63.1.graphml,722,839,1688,8048,9,1.024,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,302,354,726,2526,7,0.163,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,217,227,520,1264,2,0.148,1.0
31,north/g.13.85.graphml,12,4,29,28,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,707,1053,1848,10236,56,58.206,306.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,1976,2562,4674,46334,377,300.021,1.0
34,Rome-Lib/graficon61nodi/grafo6583.61,1056,1405,2615,13842,39,24.382,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,286,474,805,3508,25,0.759,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,157,188,387,1198,3,0.064,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,97,91,216,630,1,0.032,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,770,966,1865,8866,22,7.983,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,1803,2243,4218,30912,40,300.03,33.0
40,Rome-Lib/graficon88nodi/grafo7910.88,2250,2885,5354,38570,464,300.022,1.0
41,Rome-Lib/graficon25nodi/grafo163.25,232,366,642,2516,26,0.465,1.0
42,Rome-Lib/graficon34nodi/grafo3067.34,135,158,336,908,2,0.045,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,974,1065,2195,11032,11,4.434,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,2609,3086,5997,37704,334,300.025,1.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,1693,2295,4116,37252,328,300.021,1.0
46,north/g.11.2.graphml,20,18,53,66,0,0.002,0.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,907,1416,2418,15148,80,89.858,1.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,1815,2357,4302,40454,325,300.021,1.0
49,north/g.77.6.graphml,987,200,1274,21738,0,0.386,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,1298,1817,3270,19292,56,248.566,111.0
