Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,70,91,179,120,2,0.014,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,226,386,650,700,26,0.233,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,250,354,657,664,2,0.071,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,1127,1409,2687,2718,18,1.662,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,325,422,816,784,9,0.124,1.0
6,north/g.36.23.graphml,147,156,353,278,1,0.026,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,766,1551,2383,2854,124,14.613,146.0
8,north/g.85.2.graphml,350,1484,1946,2594,248,2.89,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,503,623,1222,1162,10,0.759,40.0
10,Rome-Lib/graficon41nodi/grafo6857.41,277,394,754,718,6,0.097,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,3205,5694,9063,11074,482,600.083,1.0
12,north/g.29.5.graphml,178,202,431,364,0,0.012,1.0
13,north/g.21.22.graphml,200,242,497,388,0,0.012,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,1050,1279,2508,2460,25,19.107,863.0
15,Rome-Lib/graficon77nodi/grafo4316.77,1352,1556,3129,2982,21,18.531,479.0
16,north/g.12.128.graphml,31,44,96,74,1,0.003,1.0
17,north/g.19.32.graphml,30,19,77,36,0,0.002,0.0
18,north/g.19.39.graphml,53,53,141,90,0,0.003,0.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,267,460,768,832,23,0.214,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,2353,2968,5516,5786,61,600.018,2142.0
21,Rome-Lib/graficon36nodi/grafo5218.36,219,282,561,514,6,0.074,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,567,802,1454,1504,17,1.365,83.0
23,north/g.52.1.graphml,81,81,255,154,0,0.005,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,3800,6282,10262,12178,562,600.028,1.0
25,north/g.13.45.graphml,31,2,46,4,0,0.001,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,2285,3077,5605,5986,79,88.755,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,780,1014,1946,1918,24,2.963,1.0
28,north/g.63.1.graphml,722,882,1731,1678,9,0.312,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,302,381,753,708,7,0.084,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,217,243,536,454,2,0.065,1.0
31,north/g.13.85.graphml,12,4,29,8,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,707,1109,1904,2106,56,10.473,121.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,1976,2630,4742,5124,71,34.226,1.0
34,Rome-Lib/graficon61nodi/grafo6583.61,1056,1462,2672,2810,39,10.01,147.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,286,502,833,948,25,0.313,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,157,207,406,376,3,0.037,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,97,101,226,182,1,0.015,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,770,1004,1903,1932,22,2.311,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,1803,2317,4292,4486,39,87.304,1468.0
40,Rome-Lib/graficon88nodi/grafo7910.88,2250,2987,5456,5770,74,600.188,1272.0
41,Rome-Lib/graficon25nodi/grafo163.25,232,394,670,732,26,0.898,375.0
42,Rome-Lib/graficon34nodi/grafo3067.34,135,180,358,316,2,0.033,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,974,1106,2236,2130,11,0.743,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,2609,3163,6074,6172,82,600.08,1337.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,1693,2364,4185,4590,68,23.333,1.0
46,north/g.11.2.graphml,20,22,57,36,0,0.002,0.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,907,1468,2470,2832,80,80.689,505.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,1815,2429,4374,4714,66,348.681,1927.0
49,north/g.77.6.graphml,987,593,1667,400,0,0.082,1.0
