Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,70,60,130,562,2,0.009,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,226,350,576,2648,26,0.201,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,250,332,582,2434,2,0.045,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,1127,1359,2486,16106,18,3.409,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,325,392,717,2966,9,0.15,1.0
6,north/g.36.23.graphml,147,139,286,850,1,0.014,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,766,1427,2193,15952,124,15.731,1.0
8,north/g.85.2.graphml,350,1297,1647,3792,248,1.349,1.0
9,Rome-Lib/graficon55nodi/grafo4218.55,503,581,1084,5308,10,0.313,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,277,359,636,2030,6,0.047,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,3205,5537,8742,102258,1156,300.01,1.0
12,north/g.29.5.graphml,178,182,360,1240,0,0.009,1.0
13,north/g.21.22.graphml,200,194,394,1396,0,0.008,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,1050,1230,2280,11832,25,19.567,2713.0
15,Rome-Lib/graficon77nodi/grafo4316.77,1352,1491,2843,14672,21,4.835,1.0
16,north/g.12.128.graphml,31,37,68,124,1,0.005,1.0
17,north/g.19.32.graphml,30,18,48,76,0,0.004,1.0
18,north/g.19.39.graphml,53,45,98,194,0,0.003,1.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,267,416,683,3384,23,0.279,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,2353,2893,5246,46096,75,300.041,238.0
21,Rome-Lib/graficon36nodi/grafo5218.36,219,257,476,1634,6,0.043,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,567,752,1319,7118,17,0.615,1.0
23,north/g.52.1.graphml,81,77,158,228,0,0.023,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,3800,6089,9889,127634,1523,300.011,1.0
25,north/g.13.45.graphml,31,2,33,118,0,0.001,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,2285,2993,5278,38404,79,117.409,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,780,959,1739,7814,24,2.254,1.0
28,north/g.63.1.graphml,722,839,1561,8048,9,0.248,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,302,354,656,2526,7,0.075,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,217,227,444,1264,2,0.025,1.0
31,north/g.13.85.graphml,12,4,16,28,0,0.002,1.0
32,Rome-Lib/graficon47nodi/grafo6437.47,707,1053,1760,10236,56,7.301,25.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,1976,2562,4538,46334,71,95.983,1.0
34,Rome-Lib/graficon61nodi/grafo6583.61,1056,1405,2461,13842,39,5.447,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,286,474,760,3508,25,0.362,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,157,188,345,1198,3,0.024,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,97,91,188,630,1,0.015,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,770,966,1736,8866,22,1.709,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,1803,2243,4046,30912,40,300.046,1296.0
40,Rome-Lib/graficon88nodi/grafo7910.88,2250,2885,5135,38570,74,300.04,259.0
41,Rome-Lib/graficon25nodi/grafo163.25,232,366,598,2512,26,0.341,19.0
42,Rome-Lib/graficon34nodi/grafo3067.34,135,158,293,908,2,0.018,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,974,1065,2039,11032,11,1.142,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,2609,3086,5695,37704,84,300.04,1150.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,1693,2295,3988,37252,68,53.842,1.0
46,north/g.11.2.graphml,20,18,38,66,0,0.003,1.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,907,1416,2323,15148,80,39.813,1.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,1815,2357,4172,40454,66,300.056,1404.0
49,north/g.77.6.graphml,987,200,1187,21738,0,0.126,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,1298,1817,3115,19292,56,144.957,3936.0
