Index,File,X-vars,C-vars,Total vars,Total constraints,Crossings,Opttime,Nodes visited
1,north/g.18.19.graphml,140,120,278,370,4,0.017,1.0
2,DAGmar/graphs/1.6/uniform_n20_e32_i7.graphml,452,700,1190,1976,52,0.314,1.0
3,Rome-Lib/graficon36nodi/grafo5319.36,500,664,1217,1910,4,0.072,1.0
4,Rome-Lib/graficon81nodi/grafo7975.81,2254,2718,5123,7922,36,4.61,1.0
5,Rome-Lib/graficon51nodi/grafo1532.51,650,784,1503,2285,18,0.229,1.0
6,north/g.36.23.graphml,294,278,622,842,2,0.03,1.0
7,DAGmar/graphs/2.6/uniform_n20_e52_i0.graphml,1532,2854,4452,7901,248,34.639,518.0
8,north/g.85.2.graphml,700,2594,3406,6835,496,8.14,59.0
9,Rome-Lib/graficon55nodi/grafo4218.55,1006,1162,2264,3408,20,0.299,1.0
10,Rome-Lib/graficon41nodi/grafo6857.41,554,718,1355,2072,12,0.097,1.0
11,DAGmar/graphs/2.6/uniform_n40_e104_i6.graphml,6410,11074,17648,30890,1172,300.023,1.0
12,north/g.29.5.graphml,356,364,771,1088,0,0.018,1.0
13,north/g.21.22.graphml,400,388,843,1170,0,0.022,1.0
14,Rome-Lib/graficon70nodi/grafo8387.70,2100,2460,4739,7200,50,22.291,1012.0
15,Rome-Lib/graficon77nodi/grafo4316.77,2704,2982,5907,8807,42,11.089,404.0
16,north/g.12.128.graphml,62,74,157,216,2,0.007,1.0
17,north/g.19.32.graphml,60,36,124,120,0,0.004,1.0
18,north/g.19.39.graphml,106,90,231,278,0,0.005,0.0
19,DAGmar/graphs/1.6/uniform_n20_e32_i2.graphml,534,832,1407,2347,46,0.224,1.0
20,Rome-Lib/graficon86nodi/grafo8750.86,4706,5786,10687,16818,128,300.041,1722.0
21,Rome-Lib/graficon36nodi/grafo5218.36,438,514,1012,1504,12,0.083,1.0
22,Rome-Lib/graficon46nodi/grafo6262.46,1134,1504,2723,4327,34,1.21,25.0
23,north/g.52.1.graphml,162,154,409,466,0,0.009,1.0
24,DAGmar/graphs/2.6/uniform_n40_e104_i4.graphml,7600,12178,19958,34245,1156,300.023,1.0
25,north/g.13.45.graphml,62,4,79,41,0,0.003,0.0
26,Rome-Lib/graficon87nodi/grafo7167.87,4570,5986,10799,17250,158,73.849,1.0
27,Rome-Lib/graficon75nodi/grafo8381.75,1560,1918,3630,5575,48,3.168,1.0
28,north/g.63.1.graphml,1444,1678,3249,4917,18,0.273,1.0
29,Rome-Lib/graficon39nodi/grafo3984.39,604,708,1382,2072,14,0.103,1.0
30,Rome-Lib/graficon36nodi/grafo2838.36,434,454,964,1352,4,0.072,1.0
31,north/g.13.85.graphml,24,8,45,32,0,0.001,0.0
32,Rome-Lib/graficon47nodi/grafo6437.47,1414,2106,3608,5972,112,10.102,137.0
33,DAGmar/graphs/1.6/uniform_n40_e64_i3.graphml,3952,5124,9212,14786,142,111.352,954.0
34,Rome-Lib/graficon61nodi/grafo6583.61,2112,2810,5076,8081,78,3.729,1.0
35,DAGmar/graphs/1.6/uniform_n20_e32_i0.graphml,572,948,1565,2656,50,0.262,1.0
36,Rome-Lib/graficon34nodi/grafo11319.34,314,376,732,1097,6,0.045,1.0
37,Rome-Lib/graficon23nodi/grafo686.23,194,182,404,552,2,0.023,1.0
38,Rome-Lib/graficon51nodi/grafo3677.51,1540,1932,3601,5600,44,1.863,1.0
39,Rome-Lib/graficon79nodi/grafo5799.79,3606,4486,8264,13018,78,74.358,1498.0
40,Rome-Lib/graficon88nodi/grafo7910.88,4500,5770,10489,16675,152,300.026,683.0
41,Rome-Lib/graficon25nodi/grafo163.25,464,732,1240,2062,52,0.937,409.0
42,Rome-Lib/graficon34nodi/grafo3067.34,270,316,629,925,4,0.036,1.0
43,Rome-Lib/graficon74nodi/grafo9764.74,1948,2130,4234,6299,22,0.805,1.0
44,Rome-Lib/graficon76nodi/grafo5866.76,5218,6172,11692,18039,162,300.026,1065.0
45,DAGmar/graphs/1.6/uniform_n40_e64_i8.graphml,3386,4590,8104,13168,136,23.943,1.0
46,north/g.11.2.graphml,40,36,91,110,0,0.003,1.0
47,DAGmar/graphs/1.6/uniform_n40_e64_i0.graphml,1814,2832,4741,7987,160,45.363,25.0
48,DAGmar/graphs/1.6/uniform_n40_e64_i5.graphml,3630,4714,8474,13600,132,300.081,2392.0
49,north/g.77.6.graphml,1974,400,2461,1987,0,0.143,1.0
50,Rome-Lib/graficon67nodi/grafo4314.67,2596,3634,6385,10383,112,42.362,684.0
